,Description,Class Index
802,The English language ranks this manuscript among the top 5 worst manuscripts I have ever reviewed,2
803,I have followed the work of this group for the last few years and it is usually well polished. That is not the case for the present paper.,2
804,"\ne.\tIt is not completely clear to me that batch-normalization takes care of the scale constant (if so, then why did XNOR-NET needed an additional scale constant?),perhaps this should be further clarified.",1
805,"I have read this MS twice, which given the grammatical howlers in the Abstract would appear to be more times than it has been read by the authors",2
806,"Measurements were made, but why, besides a teaching exercise, remains obscure",2
807," Instead the presentation can be simplified by just discussing the equivalency between local minima and global minima, as the proposed framework cannot handle critical points directly.",1
808,\n\nThis seems to be a nice treatment of distribution to distribution regression with neural networks.,1
809,[XX] is just as interesting to us as the new dress bought by Kim Kardashian,2
810,\n\nMinor points: Fig.1 conveys not that much information.,1
811,rampant and unsupported speculation,2
812, In what we call the Pong Player\u2019s Dilemma (PPD) when an agent \nscores they gain a reward of 1 but the partner receives a reward of \u22122.,1
813, Experiments on German/English and Chinese/English show gains over other reinforcement learning methods.,1
814," For example, if a classification task is formulated as reinforcement learning where the ultimate reward depends on the batch likelihood, the presented formulation (called Adaptive DropConnect in this context) does better on standard datasets when compared with a strong baseline.",1
815,The supportive tone of this review… took some effort.,2
816,This needs to be standardized!!! It must be converted!!! Why should we expect some kind of relationship?? It needs to be justified!!!,2
817,"\nThe scope/insight of the paper isn't groundbreaking, but I think it delivers a clear short message on the Atari benchmark.",1
818, Overall i like the originality of the paper and feel that it has a potential of reasonable impact within the research community.,1
819," Since model-parallel training across machines has not been very successful, and model-parallelism has been only exploited within machines, asynchronous model-parallel optimization is an important topic of research which has the promise of scaling deep learning models beyond the memory capacity of a single machine.",1
820,This paper is very weak,2
821,\n\npro:\n- Thorough discussion of the issue with theoretical understanding on small benchmark functions as well as theoretical work\n- Easy to read and follow,1
822,Well written. (entire review,2
823,"The paper is grossly over referenced, and reads a little like a student trying to impress a supervisor that a lot has been read",2
824,The authors last name sounds Spanish. I didn't read the manuscript because I'm sure it's full of bad English,2
825,"In the interest of being helpful, my suggestion is that the authors go back and review what is involved in the scientific method",2
826,  The same applies to figure 5. ,1
827,"First, unless my statistics is failing me, a less than 1.0 SD is not significant.",2
828, The resulting model is illustrated on a few goal-oriented dialog tasks.,1
829,The examples are stale – the method is not exciting. There is nothing much here.,2
830,"The research claims these phenomena are understudied, as though there is some amount of study they should endure.",2
831,I concur with the reviewers that the methods are insufficient and thus the conclusion are totally...,2
832,I find that the description of the applied problem is quite interesting; in fact overall the paper is well written and very easy to follow.,1
833," Different from other existing RC datasets, the authors claim that this new dataset requires background and common-sense knowledge,  and across sentences reasoning in order to answer the questions correctly.",1
834,\n- I would not call Reg a regularization term since it is not shrinking the coefficients,1
835, The paper introduces a strong model-free baseline (win rate ~80% in the MiniRTS environment) and shows that the latent space learned by this baseline does include relevant game information.,1
836,"  Therefore, how to choose this parameter is essential.",1
837,This is a pointless paper. It offers neither interesting new data nor cogent explanation,2
838,There are not enough headings.,2
839,"The research adds meaningful to the literature, how?",2
840," Command of related work is ok,",1
841, The idea is interesting and novel that PACT has not been applied to compressing networks in the past.,1
842," \n\n2, The derivation of the multiplicative rule of HD relies on a reference I cannot find. Please include this part for self-containing.",1
843,I would advise the authors to go back to the drawing board and consider exactly what this paper is trying to do and do this well,2
844,"I appreciated how the author seemingly had in mind that a goodly percentage of the readership are not native speakers, so anything too academic or erudite might be lost on them",2
845,I really wanted to like this study,2
846,"Though less enthused about manuscripts novelty, this reviewer does admire the hard work of your group.",2
847,"\n\nSo, the paper is relevant and well presented.",1
848,Having read through this a couple of times I have ended up feeling rather depressed.,2
849,The experimental design is a bit funny,2
850," In spirit, these simulations are similar to those in the original paper by M. Egorov.",1
851,. Novel combinations of GAN formulations (non-saturating with\ngradient penalties) are evaluated to disentangle the effects of formulation\nchanges.,1
852,"You will see that Reviewer 2 has slightly missed the point, so please dont pay too much attention to their comments in your revision. -Edito",2
853,"\n- figures readability can be improved.""",1
854,"Other papers are cited that were clearly not read carefully, resulting in some memorable howlers.",2
855,The project is lack of interest.,2
856, \n5. Optimal LRs: Fig.5b shows results for 1000 iterations whereas the text says 10000 (seems like a typo in scaling the plot).,1
857,Asterisk rather than Asterix,2
858,"\n\nRelated works:\n- For your consideration: is multi-task survival analysis effectively a competing risks model, except that these models also estimate risk after the first competing event (i.e. in a competing risks model the rates for other events simply go to 0 or near-zero)? Please discuss.",1
859,"Limited scholarship, flawed design, and faulty logic engender no enthusiasm whatsoever",2
860,\n\nStrengths:\nThe model and the mixed objective is well-motivated and clearly explained.\nNear state-of-the-art performance on SQuAD dataset (according to the SQuAD leaderboard).,1
861,\n\nIt is a bit disappointing that authors seem to consider only deterministic models which clearly have very limited applicability.,1
862,  Experimental evaluation is performed on several benchmark datasets - the proposed approach outperforms state-of-the-art for specific tasks in most cases.,1
863," In Paragraph \u201cMaximum Likelihood\u201d, page 2, the formalization of the studied problem is unclear.",1
864,This ridiculous comment that a powerful computer algebra systems was required on page 6 is absurd.,2
865,The orgnization and writing of the paper need to improve. There are some grammar errors need to correct.,2
866,. The analysis of squared error for the price regression shows a clear advantage of the method over previous models that used hand crafted features.,1
867," I would recommend at least summarizing the main findings of Appendix A in the main text.[[CNT], [null], [SUG], [MIN]]\n\n* A relevant missing citation: Turner and Sahani\u2019s \u201cTwo problems with variational expectation maximisation for time-series models\u201d (http://www.gatsby.ucl.ac.uk/~maneesh/papers/turner-sahani-2010-ildn.pdf).",1
868,\n\nQuality:\nGood\n\nClarity:\nThe paper is clearly written.,1
869," \n\n- The analysis of section 4.1 is interesting, it was insightful and to the best of my knowledge novel.",1
870,Uninteresting. Unpublishable. Reject.,2
871,"Although no ground-shaking breakthroughs are made, it is worthy of publication",2
872,"I am generally very happy to provide extensive comments on manuscripts, but this submission was an absolute waste of my time.",2
873,"leftover is a noun, like old pizza. left over is the verb you want.",2
874, Extensive experiments are performed to demonstrate the effectiveness of the proposed methods. ,1
875,\nThe convergence constraint procedure from Table 4 is not clear.,1
876," I was pointing out the similarities between their approach and your: the two algorithms (CLEVER and Slope) are basically the same, and using a limit you can go from \""slope\"" to \""gradient norm\"".",1
877,You haven't reflect all relevant studies.,2
878,"\n\ncons:\n\n- no mention of time costs, except that for more samples, S > 1, for\n taylor approximation, it can be very expensive.",1
879, Such an analysis would helpful to accurately get an estimate of the proportion of these challenges in the dataset.,1
880,"I have 3 main objections to this paper: it is self-contradictory, it's functionally obsolete, and it's been submitted to the wrong journal",2
881,"\n\nOverall, the paper is well-written, and it brings up an important idea: that parameter sharing is important for discovery tasks so we can avoid re-training for every new architecture in the search process.",1
882," The process of re-creating embeddings seems like one choice in a space of many, not the simplest, and not very well motivated.",1
883,Black-box modeling exercise using a hodge-podge of data tied together with a poorly-defined model,2
884," For one example, we\u2019re told that \u201cPreposition selection [is] a major area of study in both syntactic and semantic computational linguistics\u201d, but at best it\u2019s quite a specialized niche.",1
885, The proposed model combines some of the strengths of factorization machines and of polynomial regression.,1
886,"""The paper introduces a technique for optimizing an L0 penalty on the weights of a neural network.",1
887,The first sentence is unfortunate,2
888,I have difficulties identifying the aim and added value of the present study to this topic.,2
889," While the authors list 7 contributions, the current version of the text is a challenge to read and makes it challenging to distill an overarching theme or narrative to these contributions.",1
890,"In a nutshell, please cut out all the hype, show some integrity, and write a balanced paper.",2
891," The sparse coding models see something similar: without sparsity constraints, the image representations do not resemble those seen in V1, but with sparsity, the learned representations match V1 quite well.",1
892, These solutions achieve zero squared-loss.,1
893," \n\nPerhaps the authors have just done a good job of laying the groundwork, but the dual-based approach proposed in section 3.1 seems quite natural.",1
894,"Focus on limitations, because they are many!",2
895, The fonts are too small for the numbers and the legends.,1
896,"Thus, there is nothing new in the manuscript that warrants publication in Science or most other journals",2
897,"Overally speaking, the manuscript is well written.",2
898,\n\nThe experimental study is extensive.,1
899," For example,\n[1] A convex formulation for learning task relationships in multi-task learning (UAI)",1
900,All these data are given in the author's Ph.D thesis. Does this material need to be published?,2
901,Publishing this manuscript would disembowel the credibility of this journal,2
902,Some papers are a pleasure to read. This is not one of them.,2
903,The rest of this review operates from the assumption that this paper is a sincere attempt at scientific evidence and argument.,2
904,At first I thought this was a practical joke h/,2
905,"Why dont you just send copies of this to the two people in the world who care about it, and forget the publication route?",2
906,"It is a bit strange for me that authors have used Python for statistical analysis instead of SPSS or MATLAB as usual. Please, explain",2
907," It argues that because there should be an optimal noise scale (which maximizes test performance), the batch size should be taken proportional to the learning rate, as well as the training set size, and proportional to 1/(1-m).",1
908, The equivalence of global minima and local minima for linear networks is not surprising based on existing works e.g. Hardt & Ma (2017) and Kawaguchi (2016).,1
909, but the hierarchical approach seems to have more advantages and seems a more straightforward solution.,1
910," Instead of using a fixed-form inference network, the paper proposes to use the learning to learn approach of Andrychowicz et. al.",1
911,This book has more mistakes than a hound has fleas,2
912,It is difficult from this reviewers perspective to even call these studies.,2
913,\n\n- Page 4 p_i\u2019s in proposition 1\nFrom my understanding the p_i have been introduced in Theorem 1 but given their prominent role in this proposition they merit a separate definition (and ideally in terms of the A_i directly).,1
914,\n\nCons:\n1. I'm concerned that the contribution of this manuscript is a little incremental.,1
915,The conclusions are still not consistent with the (lack of) findings.,2
916," There are technical issues with what is presented, with some seemingly factual errors.",1
917,The manuscript is a collection of fragmented and disconnected descriptive observations.,2
918,This would be an embarrassment even if submitted as an undergraduate class paper' h/,2
919,".\n\nIt would be more convincing if there are experiments on the billion word corpus or other larger datasets, or at least on a corpus with 50 million tokens.",1
920,The rest of this review operates from the assumption that this paper is a sincere attempt at scientific evidence and argument.,2
921,"  \n\nIn general, the paper is well-written and the main ideas are clear.",1
922, \n2. The discussion comparing the related work/baseline methods is insightful.,1
923,The reviewer's comments read 'fuck you'  (handwritten on a strip of paper scotch-taped to the editors letter,2
924, I think I might have missed something here.,1
925,"I think the author could reduce the amount of equation to a proper level and describes the basic principle. […] To be honest, those equations make me a little headache",2
926, Some additional discussion of why no learning is required for the P(Prog | Y) step would be appreciated.,1
927," This led to improvement over SOTA in a task of caption ranking on MS-COCO, nd good performance on flickr30K.",1
928,"The paper descends into nonsense, never to return, on line 44.",2
929,"\n\nFirst, the writing is far from clear. There are typos and errors all over at an unacceptable level.",1
930, \n\nThe main novelty of this work are 1-balancing mechanism for the replay memory.,1
931,Figure 1. What does Min in panel c stand for?,2
932, It would be good to possibly add another \nencoder network to see if encoding the examples as well help improve the accuracy.,1
933,Your proposed method should be compared with another method that introduced in a prestigious paper...,2
934, I am raising the score.,1
935,"""Quality\n\nThis is a very clear contribution which elegantly demonstrates the use of extensions of GAN variants in the context of neuroimaging.",1
936," The results show promising results,",1
937, it lacks in two aspects.,1
938,"I cannot imagine any physician or scientist who has a job, who will have the time to read this paper.",2
939,"Publishing a weak paper can be a bit like kissing someone through a screen door - it might feel good for a moment, but what does it actually accomplish?",2
940,I think the audience will eat him alive. But I want to be there to hear it.,2
941,This is all science done by wishful thinking. -..,2
942,"As such, this paper is not suitable for publication in a peer reviewed scientific journal of any sort",2
943,This left me somewhere between scratching my head and pulling my hair out,2
944,This manuscript is only theoretical in the sense that the methods are proposed but not adequately tested,2
945,"However, the applicant seems to have run out of steam before he developed a detailed plan and completed the proposal. This is unfortunate",2
946," Specifically, the idea is to use the structure of the PGM to perform efficient inference.",1
947,\n\nI think the work has several important issues:\n\n1.,1
948,"\n\nWeakness:\n1. The major weakness is that throughout the paper, I do not see an algorithm formulation of the Smoothie algorithm, which is the major algorithmic contribution of the paper (I think the major contribution of the paper is on the algorithmic side instead of theoretical).",1
949, But then they just concept net to augment text.,1
950,..incoherent babble of unsubstantiated overstatement.,2
951,"This is a disaster. I could continue, but you see my point.",2
952,"The authors are permitted to believe what they want to, but the data did not support important implications.",2
953,The discussion is inappropriate and the new content is generally poorly written,2
954,"This, of course, is disingenuous if not unethical",2
955,The statistical analyses were not correct. Actually they were so confused that I lost all confidence in the analyses and data presentation,2
956,"So, I guess the [XX] theory was dead on arrival when it was proposed.",2
957,"An exercise in feature manipulation, of the brainless kind",2
958,Ah - now I see a glimpse of promise in this paper - Five pages into the documen,2
959," Moreover, the empirical comparisons are only conducted on MNIST.",1
960, The paper contain many interesting contributions,1
961,The authors offer no credible theoretical reason why we should care about this result.,2
962,"\n\nI liked Section 3, however while it is true that all methods differ in the way they\ndo the filtering, they also differ in the way the input graph is represented\n(use of the adjacency or not).",1
963,Are you kidding?,2
964,"""This paper presents a continuous surrogate for the ell_0 norm and focuses on its applications in regularized empirical regularized minimization.",1
965,"n a review of a neuroimaging methods paper: By 'sex' you mean gender, and not sexual behavior?",2
966,The manuscript reads much like an unrevised masters level paper.,2
967," In particular, they aim at generating a complete set that fully specifies the behavior of the oracle.",1
968,Intellectually bankrupt,2
969,"    In other text learning task (e.g., [1]) SPL showed improved performance.",1
970,Usually climate studies do not show a good method for the proposed research. This is one of them.,2
971,"\n\nOverall the paper is well-structured and related work covers the relevant papers,",1
972,"\n\nFor this reason, I will give the score marginally below the acceptance threshold now.",1
973,"presumptuous, ignorant and downright dangerous",2
974,"  \n\nA major point of concern is that they do not use the public dataset proposed in Finn et al. 2016, but use their own (smaller) dataset.",1
975," If y* is simply fixed somewhere in the model, then I'm worried that it may cause mode collapse (i.e. the encoder always output similar values), and one possible bad consequence is that y1_i of different sentences in the source domain may have very similar values.",1
976,"\n\nThe significance of this work would still be quite strong if, as the author's suggest, these benchmarks were being widely used to assess more sophisticated algorithms and yet these tasks were mastered by such simple algorithms with no learnable parameters. ",1
977,Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock. -Referee ,2
978," I would suggest to either really add multi-hidden-layer results (which is not really doable in a conference revision), or state multi-layer work as outlook.",1
979,There is so much that is wrong with this paper that it is difficult to know where to start,2
980,The authors conclusions not only contradict their own data but also the laws of thermodynamics,2
981,"This is a heretofore unobserved result and is very interesting, but is not novel.",2
982," \n\nThe contribution in terms of the theory of using random features to perform kernel ridge regression is novel, and interesting.",1
983,The conclusion is something of a shaggy dog.,2
984,"The fact that something has not been studies is not, in itself, a reason why it should be studied.",2
985,I have received one highly negative review and wondered whether it could be overcome by other reviews. I conclude that the answer is no,2
986,This paper may sink without trace,2
987,"There is hardly any paragraph (even in the abstract) that is not messy, disorganized, confusing, that does not contain mistakes (some are quite embarrassing), redundancies, abusive shortcuts or discussions that sound absurd.",2
988," I do believe that L_2 distance is more natural in function space than in parameter space, but I am missing a strict argument for this in the paper.",1
989," In other words, for a non-convex problem (about whose landscape we know barely anything), if there are regimes of regularizers that work well (see point 2) -- why should we ask for more stronger regularizers?",1
990, In which cases the former did correctly but the latter didn\u2019t?,1
991,I dont know what to do with this.,2
992,"If participants were recruited from a university, I imagine they would usually be 18-22 years old. Why does your sample range from 18 to 63? Im a bit lost here.",2
993," \n\nFour simple, shallow neural nets are built as query, write, value, and policy networks.",1
994,I wish I could explain what is the purpose of the manuscript.,2
995,There are many stylistics phrases to tidy which you can find yourself,2
996, The presented algorithm sketch-rnn seems novel and significantly different from prior work.,1
997," \n- More details regarding the experiments are desirable - how many runs were done, the initialization of the policy network and action-value function, the deep architecture used etc.",1
998,One gets the feeling that the references were included for the sake of having something to refer to.,2
999,The results of the study are adequately justified.,2
1000,"  They also do not report results on unseen objects, when occlusions are present, and on human motion video prediction, unlike the other papers.",1
1001,\nYou should clearly divide the existing study and your work.,1
1002,"The correlations are not that strong (e.g., p = .022)",2
1003,You should consider consulting a competent statistical adviser.,2
1004,\n\n\nThere are several issues with the paper and I cannot recommend acceptance of the paper in the current state.,1
1005,This manuscript was neither enjoyable nor informative to read,2
1006,".\n- Multiple locations, e.g. S4.1: for NLI, the word is *premise*, not *promise*.\n- Missing word in first sentence of S4.1: ... reason __ the ...""",1
1007,"Cite newer, relevant references, especially those published by X 2012, and X 2008. Best wishes, Dr. X, Associate Editor",2
1008, The authors formulation of the problem as one of combinatorial optimization and proposing Algorithm 1 is also quite interesting.,1
1009,"This is clearly a submission that needs to be shredded, burned, and the ashes buried in multiple...",2
1010," The empirical evaluations, analysis and comparisons to existing methods are well executed.",1
1011,\n- A new structure for weight matrices that provides good performance while reducing matrix storage requirements and speeding up forward and backward passes.,1
1012,It reads as if the author were giving a lecture and wandered off point to tell an interesting story.,2
1013,"eviewer 1: 'I really enjoyed the introduction'.

Editor: 'In line with Reviewer 1, the introduction doesn't do a good job...",2
1014,"As it is often the case with conceptual developments, most of it doesnt make a lot of sense, in the...",2
1015," Second, they evaluate the generative model on several metrics (such as Jensen-Shannon Divergence) and study the benefits and drawbacks of these metrics, and suggest that one-to-one mapping metrics such as earth mover's distance are desirable over Chamfer distance.",1
1016,The main problem is that it does not fit the intuition about what should work.,2
1017,It was agonizing for this reviewer to read a total of nine pages describing the overall methods.,2
1018,"This is a pretty trivial study, sample size is suspiciously high, and a tiny effect of 5% percent (who cares if it's significant)",2
1019,he authors report results from pages 16-26. This section reflects what I would brutally call 'death by figures,2
1020," In the experiments, the authors plotted the training progress w.r.t. the minibatch iterations, I do not know if the minibatch iteration is a proxy for actual runtime (or number of floating point operations).",1
1021,The stimuli are impossible to compute.,2
1022,The manuscript in the present form is not a review article but is rather a number of research papers stapled together.,2
1023,"\n\nOverall, this work is providing useful experimental insights, clearly motivating\nfurther study.\n""",1
1024," Unfortunately, the paper does not provide details at the basic level, which algorithms,  architectures, hyper-parameters or regularization terms are used.",1
1025,"The enormous and overwhelming -not to say pathetic- admiration, even adoration of the author for her subject is barely acceptable",2
1026,"The paper is also unnecessarily sprawling, verbose, and heavy on extended descriptive exposition of other peoples views.",2
1027, It uses the image and its attributes.,1
1028," If that claim to originality is not contested, and the authors provide additional assurances to confirm the correctness of the implementations used for baseline models, this article fills an important gap in open-domain dialogue research and suggests a fruitful future for structured prediction in deep learning-based dialogue systems.",1
1029,Something is missing.,2
1030,"""I think I should understand the gist of the paper, which is very interesting, where the action of \\tilde Q(s,a) is drawn from a distribution.",1
1031," Other than that, I don't get much more insight from the theoretical result.",1
1032, But seems none of the 4 loss functions incorporates this constraint.,1
1033," \n\nThe authors do mention experiments on page 8, but confess that some of the results are somewhat underwhelming.",1
1034,These snotty kids in quantum information,2
1035,The use of the word surgeries to mean surgical procedures is a linguistic atrocity,2
1036,"The enormous and overwhelming -not to say pathetic- admiration, even adoration of the author for her subject is barely acceptable",2
1037,". All data are then labelled as \""original\"" or \""transformed by ...(specific transformation)\"". -Classification task is performed with a neural network on augmented dataset according to the pseudo-labels.",1
1038, The behaviors of linear networks and practical (deep and nonlinear) networks are very different.,1
1039," As n domains are supposed to be given in advance before the n+1 domain (target domain) comes, one can use multi-domain learning approaches with ensemble learning techniques to learn word embedding for the target domain.",1
1040,"Publication of this paper will not advance our knowledge in any shape or form, it will just result in other researchers pointing out how bad this study actually is",2
1041," That connection might be worth discussing because removing the regularizing (i.e., metabolic cost) constraint from your RNNS makes them learn representations that differ from the ones seen in EC.",1
1042,The authors should discard the data and collect it again properly.,2
1043,"Suggesting much but saying nothing of import, the sort of balderdash that is often compared to the waste of male ruminants.",2
1044,Unless the authors performed some clever pagan ritual before euthanizing the animals I would use killed' instead of 'sacrificed'.,2
1045,\n2. Cheap soft unitary constraint,1
1046," As a matter of fact, all images shown (including those in the appendix) are blurred versions of the original images, except of one single image: Fig. 4 last row, 2nd image (and that is not commented on).",1
1047," In  section 3, the shifted version, \\delta, is abruptly proposed only based on \""results presented in 4.1\"" could improve learning.",1
1048, but for a combination of reasons I think it's more like a workshop-track paper.,1
1049,.\n\nI enjoyed reading this paper.,1
1050,For the sake of time I have listed only a few (thirteen!) of the most glaring errors,2
1051,"The author does not exhibit adequate acquaintance with the subject, the scholarship on it, the structure of logical argument, or English.",2
1052,Have you no command of the English language?,2
1053,None of the following comments on the original manuscript has been correctly reflected or answered [1st round review,2
1054,"Overally speaking, the manuscript is well written.",2
1055,"This is madness, frankly, almost regardless of how it was implemented.",2
1056,"""This paper proposes a method to learn a control policy from both interactions with an environment and demonstrations.",1
1057,\n2.) Model generalization to data-sequences longer than the training set.,1
1058,"\n\nIn the ImageNet classifier family prediction, how different are the various families from each other?",1
1059,A few points fall into the category of So What' h/,2
1060,"For a section on thought, very little seems to have gone into it.",2
1061,This paper adds nothing to the existing knowledge of the subject ,2
1062,"The paper comes with proofs, but – at a first glance – they seem to be more cute than useful.",2
1063," In particular, I really appreciated the additional appendix sections to clarify what actually happens as the phase information is propagated through the network.",1
1064,This research is not worth a hill of beans,2
1065,Im just bored as a reader.,2
1066, It combines several insights into a nice narrative about infinite Bayesian deep networks.,1
1067,this may eventually be a cited paper.,2
1068,"That omission is a standard feature of articles from the fourth author's lab. Although it normally doesn't bite him, it does in this case.",2
1069,eviewer 2: 'THOU SHALL AWAIT MY JUDGEMENT... FOR SIX  EARTHLY YEARS,2
1070,This literature review is nothing more than a merry dance around the books,2
1071,"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",2
1072,"This is an interesting manuscript, not because of its results, but because of its complete ignorance of due scientific process",2
1073,"It appears the authors has generated reports in a hurry, compiled, and presented as an article.",2
1074,"So the paper, which I was initially excited to read, ended up just making me mad.",2
1075,I do not believe or trust the data presented or the underlying thesis.,2
1076,"\n\nFirst of all, the paper is very well written and structured.",1
1077,"No new insights, no important question addressed, no problem solved. -..",2
1078,This article is on an interesting topic. Unfortunately there is no more positive to say about this manuscript.,2
1079,The title showed promise...,2
1080, They do not show convincingly that the network managed to learn interesting class-specific and class-agnostic representations.,1
1081, \nThe authors use deep Q learning from Mnih et al 2015 to learn their optimal policy.,1
1082,\n\nThe paper starts off strong.,1
1083, The evaluation is performed\non a synthetic dataset and shows improvements over seq2seq baseline approach.,1
1084,This looks like a work of pure fantasy.,2
1085,"\n\nRelevance: Although there isn't any learning going on, the paper is relevant to the conference.",1
1086,"""The paper develops models which attempt to explain the existence of universal perturbations which fool neural networks \u2014 i.e., the existence of a single perturbation which causes a network to misclassify most inputs.",1
1087,"The evaluation is limited, in that the standard evaluations (e.g. SimLex would be a good one to add, as well as many others, please refer to the literature) are not used and there is no comparison to previous work.",1
1088,The peaceful atmosphere between Christmas and New Year was transiently disrupted by reading this...,2
1089,I find the author's writing to be very undergraduate-like.,2
1090," The authors empirically evaluate their method in both image and text domains and claim that the corresponding generated adversaries are natural (legible, grammatical, and semantically similar to the input).",1
1091,"\n(b) they achieve this by clever use of character LSTM encoder / decoder that sandwiches a bidirectional LSTM which captures context,",1
1092,This code sample cannot be adequately described without the use of strong language.,2
1093, This should be supported by some quantitative results.,1
1094, They also show experimentally that penalized gradients stabilize the learning process.,1
1095," It seems the novelty here is mainly the empirical exploration (will return to this later), and numerical integration for various activation functions.",1
1096," Still, I think the contribution in that part is a: sentiment-psychologically inspired analysis of the Thumbrl data set.",1
1097,"\n\nThe idea of explicitly accounting for the boundedness of clinical scores is interesting,",1
1098, This is very much different from large part of the cited classic active vision literature.,1
1099,Studies undertaken in such a manner as presented here degrade all science by giving the semblance of legitimacy to illegitimate work.,2
1100,This proposal left me cold - In response to a grant proposa,2
1101,".\n* While many loosely-related works were surveyed, it is not clear why literally none of them were compared.",1
1102, Rest of presented work is more or less standard.,1
1103,"  Some of the notation is confusing here \u2014 for example, presumably the rotations refer to image level rotations rather than literally multiplying the inputs by an orthogonal matrix, which the notation suggests to be the case.",1
1104,Is it possible that a different choice of hyperparameters can change the model ranking,1
1105,The conclusion is something of a shaggy dog.,2
1106," \n- Despite the author\u2019s expectations that their representations will be \u2018widely used\u2019, I am struggling to think of cases where they would be useful, outside of the very specific tasks involving prepositions that they use.",1
1107,nless the authors performed some pagan ritual before euthanizing the animals I would use killed (or euthanized) instead of sacrificed,2
1108,I can't possibly imagine what led the authors to believe that their paper was remotely interesting enough to submit for publication,2
1109,"The team has generated the kind of gaudy, brobdignagian dataset that makes it such a curious and exciting time",2
1110,N/A. (Full review text),2
1111,I think time will show that inheritance (section 1.5.3) is a terrible idea.,2
1112, Were these values different?,1
1113,"Indeed, by the end of the paper, the reader is left with a feeling of so what now?",2
1114,It reads like papers often do when they are written in LaTeX. Reject.,2
1115," This work introduces a simple, computationally straightforward approach to exploring by perturbing the parameters (similar to exploration in some evolutionary algorithms) of policies parametrized with deep neural nets.",1
1116,\n* the paper is clearly written and easy to understand,1
1117,[H] did a few sloppy experiments and attached his name to the great pioneering work by [P]. He should not be mentioned.,2
1118," Also, the experimental results look quite promising",1
1119,"Do we need to clarify the meaning of, all?",2
1120,I have rarely read a more blown-up and annoying paper in the last couple of years than this hot-air balloon manuscript,2
1121," Based on the review taxonomy, the authors presents a mixed objective which aims for bretter clustering performance.",1
1122,"\u201d - what does \u201cthe accuracy improvement is smaller than 0.1%\u201d mean?""",1
1123,[The methods section] reads more as if these explanations are put in to guide the authors themselves,2
1124,Farcical,2
1125,  This work has a well-established motivation: traditional attention for target-dependent sentiment classification cannot model the interaction between target term and context words when making predictions.,1
1126,"For a section on thought, very little seems to have gone into it.",2
1127,"I could not find any passage in the MS that would explain to me what is the exact novel idea, proposal, argument, or hypothesis",2
1128,"I believe that there are important questions in this area, questions that have intellectual merit, but the PI has not found any…",2
1129,  Table 1 probably reports 100 * R^2? Please fix the description.,1
1130,I can see that the manuscript has archival value,2
1131,"Many questions on the text, for example, cause embarrassment in understanding the text",2
1132, They obtain state of the art results on most of the datasets.,1
1133,"The biggest problem with this manuscript, which has nearly sucked the will to live out of me, is the terrible writing style",2
1134,That gives a ridiculous demonstration where authors forgot science and reinvent history (…) the...,2
1135,"\nGood cover of relevant work in sec 3.[[CNT], [CNT], [APC], [MAJ]]\n\nCons\nThe paper emphasis on the fact the their modeling multi-modal time series distributions, which is almost the case for most of the video sequence data.",1
1136, \n\nPros:\n+ The results are very pleasing visually.,1
1137,"The following discussion seems to ignore this major flaw, which turns mere arm-waving into Olympic-level calisthenics",2
1138," Please explain the difference.""",1
1139,\n\npros:\n(1) The idea is introduced clearly and rather straightforward.,1
1140,"""[ =========================== REVISION ===============================================================]\nI am satisfied with the answers to my questions. ",1
1141,Proposition 7 was so fundamentally wrong that I saw no point in reading beyond it,2
1142,"By now, there are over 1,000 [articles on this topic], but these authors have not read a single one.",2
1143,and I'll refer to you as the author despite the effort you have put into ensuring that I know who you are...,2
1144,Among the topics to be subject to the integrity of attention needs to be work related to the subject of innovation does not,2
1145, \n\nPros:\n- Investigating the ability of distributed representation in encoding input structured is in general interesting.,1
1146,It is not hard to develop this method…I could write code for this on a rainy afternoon.,2
1147, It seems to me that the approximations made to Q(A) to propagate the uncertainty are breaking the bounding guarantee.,1
1148,The paper suffers from its desire to be accessible and directly impactful,2
1149,"  Each teacher model is trained on a portion of strongly-labelled data, and will only predict similar weakly-labelled data.",1
1150," The motivation of the paper and the approach taken by the authors are sensible, such as adding discounting was applied to introduce forget mechanism to the RWA and manipulating the attention and squash functions.",1
1151,\n- the datasets are not described properly.,1
1152, however it is poorly written and do not contribute much in terms of novelty of the approach.,1
1153," For example, the authors\u2019 first contribution is hidden among the text presentation of section 2.[[CNT], [null], [CRT], [MIN]] \n* The paper relies heavily on the supplement to make their central points.[[CNT], [null], [DIS], [MIN]] \n* It is nearly double the recommended page length with a nearly 30 page supplement",1
1154,"It is not clear how the of data presented in Figures 1, 2, 4, 5, 6, 7, 8, S1, and S2 was quantified and analyzed",2
1155,Being first is not sufficient. I could be first to do a backflip off a building with no net but that doesnt make it a good idea,2
1156, \n\nThe experiments are complete and the writing is good.,1
1157,"Nothing changes in our collective research programs as a result of this work. Still, the work needs to appear somewhere in the literature",2
1158,You have put in a lot of effort answering a question that should have never been asked,2
1159,"Written in parts like an experience track paper, minus the experience.",2
1160,"  After going over the additional experiments in the appendix, and I find the three results shown in the main paper seem cherry-picked, and it will be good to include more NLP tasks.""",1
1161,This technique will never work.,2
